ID,title,type,image,released,timeline,description,series,number,publisher,ranking
1355,Doctor Aphra (2020) Vol. 5: The Spark Eternal,TPB,https://minirogue.github.io/SWCovers/TPB/doctor_aphra_the_spark_eternal.jpg,12/28/2022,,,Doctor Aphra (2020),5,Marvel,
1356,Yoda #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_1.jpg,11/23/2022,,,Yoda,1,Marvel,
1357,Yoda #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_2.jpg,12/28/2022,,,Yoda,2,Marvel,
1358,Yoda #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_3.jpg,1/25/2023,,,Yoda,3,Marvel,
1359,Yoda #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_4.jpg,2/22/2023,,,Yoda,4,Marvel,
1360,Yoda #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_5.jpg,3/15/2023,,,Yoda,5,Marvel,
1361,Yoda #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_6.jpg,4/19/2023,,,Yoda,6,Marvel,
1362,Yoda #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_7.jpg,5/3/2023,,,Yoda,7,Marvel,
1363,Yoda #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_8.jpg,6/7/2023,,,Yoda,8,Marvel,
1364,Yoda #09,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_9.jpg,7/5/2023,,,Yoda,9,Marvel,
1365,Yoda #10,Comic Book,https://minirogue.github.io/SWCovers/Comics/yoda_10.jpg,8/2/2023,,,Yoda,10,Marvel,
1366,Revelations #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/revelations_1.jpg,11/23/2022,,,Revelations,1,Marvel,
1367,Hidden Empire #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/hidden_empire_1.jpg,11/16/2022,,,Hidden Empire,1,Marvel,
1368,Hidden Empire #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/hidden_empire_2.jpg,12/7/2022,,,Hidden Empire,2,Marvel,
1369,Hidden Empire #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/hidden_empire_3.jpg,2/8/2023,,,Hidden Empire,3,Marvel,
1370,Hidden Empire #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/hidden_empire_4.jpg,3/1/2023,,,Hidden Empire,4,Marvel,
1371,Hidden Empire #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/hidden_empire_5.jpg,4/5/2023,,,Hidden Empire,5,Marvel,
1372,The HIgh Republic: The Blade #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_the_blade_1.jpg,12/28/2022,,,The High Republic: The Blade,1,Marvel,
1373,The HIgh Republic: The Blade #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_the_blade_2.jpg,1/25/2023,,,The High Republic: The Blade,2,Marvel,
1374,The HIgh Republic: The Blade #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_the_blade_3.jpg,3/1/2023,,,The High Republic: The Blade,3,Marvel,
1375,The HIgh Republic: The Blade #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/the_high_republic_the_blade_4.jpg,3/29/2023,,,The High Republic: The Blade,4,Marvel,
1376,Sana Starros #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/sana_starros_1.jpg,2/1/2023,,,Sana Starros,1,Marvel,
1377,Sana Starros #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/sana_starros_2.jpg,3/8/2023,,,Sana Starros,2,Marvel,
1378,Sana Starros #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/sana_starros_3.jpg,4/19/2023,,,Sana Starros,3,Marvel,
1379,Sana Starros #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/sana_starros_4.jpg,5/31/2023,,,Sana Starros,4,Marvel,
1380,Sana Starros #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/sana_starros_5.jpg,6/14/2023,,,Sana Starros,5,Marvel,
1381,Return of the Jedi: Jabba's Palace #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/jabbas_palace_1.jpg,3/29/2023,,,Return of the Jedi One-Shots,1,Marvel,
1382,Return of the Jedi: Ewoks #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/ewoks_1.jpg,4/12/2023,,,Return of the Jedi One-Shots,1,Marvel,
1383,"Darth Vader: Black, White & Red #1",Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_black_white_red_1.jpg,4/26/2023,,,Darth Vader: Black White & Red,1,Marvel,
1384,"Darth Vader: Black, White & Red #2",Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_black_white_red_2.jpg,5/24/2023,,,Darth Vader: Black White & Red,2,Marvel,
1385,"Darth Vader: Black, White & Red #3",Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_black_white_red_3.jpg,6/28/2023,,,Darth Vader: Black White & Red,3,Marvel,
1386,"Darth Vader: Black, White & Red #4",Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_black_white_red_4.jpg,7/26/2023,,,Darth Vader: Black White & Red,4,Marvel,
1387,Return of the Jedi: Lando #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/rotj_lando_1.jpg,5/3/2023,,,Return of the Jedi One-Shots,1,Marvel,
1388,Return of the Jedi: The Empire #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/rotj_the_empire_1.jpg,6/7/2023,,,Return of the Jedi One-Shots,1,Marvel,
1389,The Mandalorian Season 2 #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_season_2_1.jpg,6/21/2023,,,The Mandalorian Season 2 (comic),1,Marvel,
1390,The Mandalorian Season 2 #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_season_2_2.jpg,7/26/2023,,,The Mandalorian Season 2 (comic),2,Marvel,
1391,The Mandalorian Season 2 #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_season_2_3.jpg,8/30/2023,,,The Mandalorian Season 2 (comic),3,Marvel,
1392,The Mandalorian Season 2 #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_season_2_4.jpg,9/27/2023,,,The Mandalorian Season 2 (comic),4,Marvel,
1393,The Mandalorian Season 2 #5,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_season_2_5.jpg,10/11/2023,,,The Mandalorian Season 2 (comic),5,Marvel,
1394,The Mandalorian Season 2 #6,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_season_2_6.jpg,11/15/2023,,,The Mandalorian Season 2 (comic),6,Marvel,
1395,The Mandalorian Season 2 #7,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_season_2_7.jpg,12/27/2023,,,The Mandalorian Season 2 (comic),7,Marvel,
1396,The Mandalorian Season 2 #8,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_season_2_8.jpg,1/10/2024,,,The Mandalorian Season 2 (comic),8,Marvel,
1397,Return of the Jedi: The Rebellion #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/rotj_the_rebellion_1.jpg,7/19/2023,,,Return of the Jedi One-Shots,1,Marvel,
1398,Return of the Jedi: Max Rebo #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/rotj_max_rebo.jpg,8/9/2023,,,Return of the Jedi One-Shots,1,Marvel,
1399,Dark Droids #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/dark_droids_1.jpg,8/2/2023,,,Dark Droids,1,Marvel,
