ID,title,type,image,released,timeline,description,series,number,publisher,ranking
1,Episode IV: A New Hope,Movie,https://minirogue.github.io/SWCovers/Movies/a_new_hope.jpg,5/25/1977,0,The movie that started it all. Luke Skywalker is a young moisture farmer with a great destiny ahead as he journeys into space to save the princess and get the Empire's evil plans into the hands of the heroic terrorist group known as the Rebel Alliance.,Star Wars (movies),4,20th Century Fox,3
2,Episode V: Empire Strikes Back,Movie,https://minirogue.github.io/SWCovers/Movies/empire_strikes_back.jpg,6/20/1980,3,"In this sequel the Empire strikes back! Oh, you already knew that? Okay, well Lando's in this one. So that's cool.",Star Wars (movies),5,20th Century Fox,1
3,Lost Stars,Original Novel,https://minirogue.github.io/SWCovers/Novels/lost_stars.jpg,9/4/2015,4.8,"This follows Thane Kyrell and Ciena Ree, two childhood friends from the outer rim, as they take part in the galactic civil war of Episodes IV-VI. They enlist as together as officers in the Imperial Navy and are thrilled to work on such a magnificent battle station. Until the events of Episode IV causes one of them to defect to the Rebel Alliance. This book follows these characters through all of the main events of Episodes IV, V, and VI, and slightly beyond to the battle of Jakku.",,,Disney-Lucasfilm Press,
4,Episode VI: Return of the Jedi,Movie,https://minirogue.github.io/SWCovers/Movies/return_of_the_jedi.jpg,5/25/1983,4,"The thrilling conclusion of the Star Wars saga (until extended universe novels dealt with what happens after this movie, and then Disney acquired the franchise and decided this wasn't the end).",Star Wars (movies),6,20th Century Fox,4
5,Thrawn,Original Novel,https://minirogue.github.io/SWCovers/Novels/thrawn.jpg,4/11/2017,-6,,Thrawn,,Del Rey Books,
6,Thrawn: Alliances,Original Novel,https://minirogue.github.io/SWCovers/Novels/thrawn_alliances.jpg,7/24/2018,-1.9448,,Thrawn,,Del Rey Books,
7,Episode I: The Phantom Menace,Movie,https://minirogue.github.io/SWCovers/Movies/the_phantom_menace.jpg,5/19/1999,-32,"The fourth Star Wars movie, but the first episode, because George Lucas said so. This is the beginning of the prequel trilogy, taking place in a time of relative peace when Jedi numbered in the thousands and the Sith had been eradicated. Oh wait, there's a Sith... Uh oh.",Star Wars (movies),1,20th Century Fox,8
8,Episode II: Attack of the Clones,Movie,https://minirogue.github.io/SWCovers/Movies/attack_of_the_clones.jpg,5/16/2002,-22,This is the move that comes after episode I and before episode III.,Star Wars (movies),2,20th Century Fox,11
9,Episode III: Revenge of the Sith,Movie,https://minirogue.github.io/SWCovers/Movies/revenge_of_the_sith.jpg,5/19/2005,-19,"The thrilling preclusion... wait that doesn't mean conclusion of prequels, but pretend it does. It's the last movie of the prequel trilogy. A lot of people like this one best of the prequels. I was always more of a Phantom Menace kinda guy, but I will admit that this one has the best Anakin hair.",Star Wars (movies),3,20th Century Fox,9
10,The Clone Wars,Movie,https://minirogue.github.io/SWCovers/Movies/the_clone_wars.jpg,8/15/2008,-21,Computer animated move which serves as a prologue for the TV series of the same name.,The Clone Wars,0,Warner Bros.,12
11,Solo: A Star Wars Story,Movie,https://minirogue.github.io/SWCovers/Movies/solo_a_star_wars_story.jpg,5/25/2018,-12,A movie about a young Han Solo.,,,Disney,5
12,Rogue One: A Star Wars Story,Movie,https://minirogue.github.io/SWCovers/Movies/rogue_one_a_star_wars_story.jpg,12/16/2016,-0.1,"In a fledgling rebelliion Jyn Erso, Cassian Andor, and K-2SO join along with others to discover the truth about a potential superweapon that Jyn's father, Galen Erso, has been working on for the ambitious Director Krennic.",,,Disney,2
13,Episode VII: The Force Awakens,Movie,https://minirogue.github.io/SWCovers/Movies/the_force_awakens.jpg,12/18/2015,34,"The first movie of the third trilogy of the main movie saga which is the seventh movie made but...also the seventh movie in the series. Oh hey, they finally made the episode numbers line up. Anyways, this is the first movie after Disney acquired the Star Wars franchise. Rey, Finn, Poe, and the Resistance are the heroes. Kylo Ren, Hux, Phasma, Snoke, and the First Order are the bad guys. How did the First Order acquire so much power under the New Republic's nose in the thirty years since the end of Episode VI? Where did they get all their funding? I don't know, Helen.",Star Wars (movies),7,Disney,7
14,Episode VIII: The Last Jedi,Movie,https://minirogue.github.io/SWCovers/Movies/the_last_jedi.jpg,12/15/2017,34.5,This is the move that comes after episode VII and before episode IX.,Star Wars (movies),8,Disney,6
15,Episode IX: The Rise of Skywalker,Movie,https://minirogue.github.io/SWCovers/Movies/the_rise_of_skywalker.jpg,12/20/2019,35,The conclusion of the numbered episodic Star Wars movies.,Star Wars (movies),9,Disney,10
16,Master & Apprentice,Original Novel,https://minirogue.github.io/SWCovers/Novels/master_and_apprentice.jpg,4/16/2019,-39,,,,Del Rey Books,
17,Queen's Shadow,Original Novel,https://minirogue.github.io/SWCovers/Novels/queens_shadow.jpg,3/5/2019,-28,,,,Disney-Lucasfilm Press,
18,Choose Your Destiny: An Obi-Wan & Anakin Adventure,Youth,https://minirogue.github.io/SWCovers/Youth/choose_your_destiny_obiwan_anakin.jpg,3/19/2019,-25,,Choose Your Destiny,,Disney-Lucasfilm Press,
19,Dooku: Jedi Lost,Audiobook,https://minirogue.github.io/SWCovers/Novels/dooku_jedi_lost.jpg,4/30/2019,-40,"Dooku: Jedi Lost follows the story of Dooku from his time as a Jedi Initiate through his departure from the Jedi Order. It's told through flashbacks as Asajj Ventress learns about his history. It ties into Master & Apprentice a little bit, as the character of Rael Aveross appears in both.",,,Random House,
20,Catalyst: A Rogue One Novel,Original Novel,https://minirogue.github.io/SWCovers/Novels/catalyst.jpg,9/15/2016,-17,,,,Del Rey Books,
21,Dark Disciple,Original Novel,https://minirogue.github.io/SWCovers/Novels/dark_disciple.jpg,7/7/2015,-20.872,"Growing more desparate as the end of the Clone War seems completely out of sight, the Jedi send their own Quinlan Vos to assassinate Count Dooku. He is told to enlist the help of none other than Asajj Ventress.",,,Del Rey Books,
22,Darth Maul #1,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_1.jpg,2/1/2017,-32.95,,Darth Maul,1,Marvel,
23,Adventures in Wild Space: The Escape,Youth,https://minirogue.github.io/SWCovers/Youth/adventures_in_wild_space_the_escape.jpg,12/13/2016,-18.7,,Adventures in Wild Space,0,Disney-Lucasfilm Press,
24,Adventures in Wild Space: The Snare,Youth,https://minirogue.github.io/SWCovers/Youth/adventures_in_wild_space_the_snare.jpg,1/3/2017,-18.69,,Adventures in Wild Space,1,Disney-Lucasfilm Press,
25,Adventures in Wild Space: The Nest,Youth,https://minirogue.github.io/SWCovers/Youth/adventures_in_wild_space_the_nest.jpg,1/3/2017,-18.68,,Adventures in Wild Space,2,Disney-Lucasfilm Press,
26,Adventures in Wild Space: The Heist,Youth,https://minirogue.github.io/SWCovers/Youth/adventures_in_wild_space_the_heist.jpg,4/11/2017,-18.67,,Adventures in Wild Space,3,Disney-Lucasfilm Press,
27,Adventures in Wild Space: The Darkness,Youth,https://minirogue.github.io/SWCovers/Youth/adventures_in_wild_space_the_darkness.jpg,8/15/2017,-18.66,,Adventures in Wild Space,4,Disney-Lucasfilm Press,
28,Adventures in Wild Space: The Cold,Youth,https://minirogue.github.io/SWCovers/Youth/adventures_in_wild_space_the_cold.jpg,10/24/2017,-18.65,,Adventures in Wild Space,5,Disney-Lucasfilm Press,
29,Adventures in Wild Space: The Rescue,Youth,https://minirogue.github.io/SWCovers/Youth/adventures_in_wild_space_the_rescue.jpg,4/10/2018,-18.64,,Adventures in Wild Space,6,Disney-Lucasfilm Press,
30,Ahsoka,Original Novel,https://minirogue.github.io/SWCovers/Novels/ahsoka.jpg,10/11/2016,-18,"This book follows Ahsoka sometime after order 66. The audiobook is narrated by Ashley Eckstein, who voiced Ahsoka in The Clone Wars.",,,Disney-Lucasfilm Press,
31,Lords of the Sith,Original Novel,https://minirogue.github.io/SWCovers/Novels/lords_of_the_sith.jpg,5/28/2015,-13.9,,,,Del Rey Books,
32,Tarkin,Original Novel,https://minirogue.github.io/SWCovers/Novels/tarkin.jpg,9/4/2014,-14,,,,Del Rey Books,
33,Rebel Rising,Original Novel,https://minirogue.github.io/SWCovers/Novels/rebel_rising.jpg,5/2/2017,-11.3,,,,Disney-Lucasfilm Press,
34,Darth Maul #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_2.jpg,3/22/2017,-32.9,,Darth Maul,2,Marvel,
35,Darth Maul #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_3.jpg,4/26/2017,-32.8,,Darth Maul,3,Marvel,
36,A New Dawn,Original Novel,https://minirogue.github.io/SWCovers/Novels/a_new_dawn.jpg,9/2/2014,-11,,,,Del Rey Books,
37,Most Wanted,Original Novel,https://minirogue.github.io/SWCovers/Novels/most_wanted.jpg,5/25/2018,-13,,,,Disney-Lucasfilm Press,
38,Lando's Luck,Youth,https://minirogue.github.io/SWCovers/Youth/landos_luck.jpg,10/2/2018,-9.8,,Flight of the Falcon,,Disney-Lucasfilm Press,
39,Last Shot,Original Novel,https://minirogue.github.io/SWCovers/Novels/last_shot.jpg,4/17/2018,-11.5,,,,Del Rey Books,
40,Solo: Expanded Edition,Novelization,https://minirogue.github.io/SWCovers/Novels/solo.jpg,9/4/2018,-12,A novelization of Solo: A Star Wars Story,,,Del Rey Books,
41,Servants of the Empire: Edge of the Galaxy,Youth,https://minirogue.github.io/SWCovers/Youth/servants_of_the_empire_edge_of_the_galaxy.jpg,10/21/2014,-2.06,,Servants of the Empire,1,Disney-Lucasfilm Press,
42,Pirate's Price,Youth,https://minirogue.github.io/SWCovers/Youth/pirates_price.jpg,1/8/2019,34.22,,Flight of the Falcon,,Disney-Lucasfilm Press,
43,Ezra's Gamble,Youth,https://minirogue.github.io/SWCovers/Youth/ezras_gamble.jpg,8/5/2014,-2.05,,Rebels,,Disney-Lucasfilm Press,
44,Servants of the Empire: Rebel in the Ranks,Youth,https://minirogue.github.io/SWCovers/Youth/servants_of_the_empire_rebel_in_the_ranks.jpg,3/3/2015,-1.9955,"This book precedes and adapts parts of the Rebels episode ""Breaking Ranks""",Servants of the Empire,2,Disney-Lucasfilm Press,
45,Servants of the Empire: Imperial Justice,Youth,https://minirogue.github.io/SWCovers/Youth/servants_of_the_empire_imperial_justice.jpg,7/7/2015,-1.9905,,Servants of the Empire,3,Disney-Lucasfilm Press,
46,Servants of the Empire: The Secret Academy,Youth,https://minirogue.github.io/SWCovers/Youth/servants_of_the_empire_the_secret_academy.jpg,10/26/2015,-1.9895,,Servants of the Empire,4,Disney-Lucasfilm Press,
47,The Mighty Chewbacca in the Forest of Fear!,Youth,https://minirogue.github.io/SWCovers/Youth/the_mighty_chewbacca_in_the_forest_of_fear.jpg,5/25/2018,-1,,,,Disney-Lucasfilm Press,
48,Choose Your Destiny: A Han & Chewie Adventure,Youth,https://minirogue.github.io/SWCovers/Youth/choose_your_destiny_han_chewie.jpg,4/17/2018,-0.99,,Choose Your destiny,,Disney-Lucasfilm Press,
49,Thrawn: Treason,Original Novel,https://minirogue.github.io/SWCovers/Novels/thrawn_treason.jpg,7/23/2019,-0.95,,Thrawn,,Del Rey Books,
50,Leia: Princess of Alderaan,Original Novel,https://minirogue.github.io/SWCovers/Novels/leia_princess_of_alderaan.jpg,9/1/2017,-3,,,,Disney-Lucasfilm Press,
51,Guardians of the Whills,Youth,https://minirogue.github.io/SWCovers/Youth/guardians_of_the_whills.jpg,5/2/2017,-0.9,,,,Disney-Lucasfilm Press,
52,Rogue One: A Star Wars Story,Novelization,https://minirogue.github.io/SWCovers/Novels/rogue_one.jpg,12/20/2016,-0.1,A novelization of the movie of the same name,,,Del Rey Books,
53,From a Certain Point of View,Original Novel,https://minirogue.github.io/SWCovers/Novels/from_a_certain_point_of_view.jpg,10/3/2017,-0.05,A series of short stories written by a myriad of authors,,,Del Rey Books,
54,Smuggler's Run,Youth,https://minirogue.github.io/SWCovers/Youth/smugglers_run.jpg,9/4/2015,2.02,,,,Disney-Lucasfilm Press,
55,BattleFront II: Inferno Squad,Original Novel,https://minirogue.github.io/SWCovers/Novels/battlefront_II_inferno_squad.jpg,7/25/2017,0.15,,Battlefront,,Del Rey Books,
56,Heir to the Jedi,Original Novel,https://minirogue.github.io/SWCovers/Novels/heir_to_the_jedi.jpg,3/3/2015,2,,,,Del Rey Books,
57,The Weapon of a Jedi,Youth,https://minirogue.github.io/SWCovers/Youth/the_weapon_of_a_jedi.jpg,9/4/2015,2.01,,,,Disney-Lucasfilm Press,
58,The Legends of Luke Skywalker,Youth,https://minirogue.github.io/SWCovers/Youth/the_legends_of_luke_skywalker.jpg,10/31/2017,34.6,,,,Disney-Lucasfilm Press,
59,Battlefront: Twilight Company,Original Novel,https://minirogue.github.io/SWCovers/Novels/battlefront_twilight_company.jpg,11/3/2015,0.1,,Battlefront,,Del Rey Books,
60,Choose Your Destiny: A Luke & Leia Adventure,Youth,https://minirogue.github.io/SWCovers/Youth/choose_your_destiny_luke_leia.jpg,10/2/2018,,,Choose Your Destiny,,Disney-Lucasfilm Press,
61,Moving Target,Youth,https://minirogue.github.io/SWCovers/Youth/moving_target.jpg,9/4/2015,3.5,,,,Disney-Lucasfilm Press,
62,Darth Maul #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_4.jpg,6/21/2017,-32.7,,Darth Maul,4,Marvel,
63,Aftermath,Original Novel,https://minirogue.github.io/SWCovers/Novels/aftermath.jpg,9/4/2015,5,,Aftermath,,Del Rey Books,
64,Aftermath: Life Debt,Original Novel,https://minirogue.github.io/SWCovers/Novels/aftermath_life_debt.jpg,7/12/2016,5.1,,Aftermath,,Del Rey Books,
65,Aftermath: Empire's End,Original Novel,https://minirogue.github.io/SWCovers/Novels/aftermath_empires_end.jpg,2/21/2017,5.2,,Aftermath,,Del Rey Books,
66,Alphabet Squadron,Original Novel,https://minirogue.github.io/SWCovers/Novels/alphabet_squadron.jpg,6/11/2019,4.1,"This novel takes place sometime after the battle of Endor (Episode VI) and before the battle of Jakku. It follows a rag-tag group (but the author is good enough to never refers to the group as rag-tag (show don't tell, y'all)) that comes together for the purpose of bringing down a Tie Fighter squad known as Shadow Wing. This novel ties in with the Tie Fighter comics.",Alphabet Squadrion (trilogy),,Del Rey Books,
67,Bloodline,Original Novel,https://minirogue.github.io/SWCovers/Novels/bloodline.jpg,5/3/2016,28,,,,Del Rey Books,
68,Phasma,Original Novel,https://minirogue.github.io/SWCovers/Novels/phasma.jpg,9/1/2017,30,,,,Del Rey Books,
69,Before the Awakening,Youth,https://minirogue.github.io/SWCovers/Youth/before_the_awakening.jpg,12/18/2015,33.9,,,,Disney-Lucasfilm Press,
70,Join the Resistance,Youth,https://minirogue.github.io/SWCovers/Youth/join_the_resistance.jpg,3/7/2017,33.95,,Join the Resistance,1,Disney-Lucasfilm Press,
71,Join the Resistance: Escape from Vodran,Youth,https://minirogue.github.io/SWCovers/Youth/join_the_resistance_escape_from_vodran.jpg,10/3/2017,33.96,,Join the Resistance,2,Disney-Lucasfilm Press,
72,Galaxy's Edge: Black Spire,Original Novel,https://minirogue.github.io/SWCovers/Novels/galaxys_edge_black_spire.jpg,8/27/2019,34.53,,Galaxy's Edge,,Del Rey Books,
73,Galaxy's Edge: A Crash of Fate,Original Novel,https://minirogue.github.io/SWCovers/Novels/galaxys_edge_crash_of_fate.jpg,8/6/2019,29,,,,Disney-Lucasfilm Press,
74,Myths & Fables,Youth,https://minirogue.github.io/SWCovers/Youth/myths_and_fables.jpg,8/6/2019,29.1,,,,Disney-Lucasfilm Press,
75,Force Collector,Original Novel,https://minirogue.github.io/SWCovers/Novels/force_collector.jpg,11/19/2019,,,,,Disney-Lucasfilm Press,
76,The Force Awakens,Novelization,https://minirogue.github.io/SWCovers/Novels/the_force_awakens.jpg,1/5/2016,34,A novelization of Episode VII.,,,Del Rey Books,
77,Join The Resistance: Attack on Starkiller Base,Youth,https://minirogue.github.io/SWCovers/Youth/join_the_resistance_attack_on_starkiller_base.jpg,7/31/2018,33.97,,Join the Resistance,3,Disney-Lucasfilm Press,
78,Canto Bight,Original Novel,https://minirogue.github.io/SWCovers/Novels/canto_bight.jpg,12/5/2017,33.7,,,,Del Rey Books,
79,Cobalt Squadron,Youth,https://minirogue.github.io/SWCovers/Youth/cobalt_squadron.jpg,12/15/2017,34.21,,,,Disney-Lucasfilm Press,
80,The Last Jedi: Expanded Edition,Novelization,https://minirogue.github.io/SWCovers/Novels/the_last_jedi.jpg,3/6/2018,34.5,A novelization of episode VIII,,,Del Rey Books,
81,Resistance Reborn,Original Novel,https://minirogue.github.io/SWCovers/Novels/resistance_reborn.jpg,11/5/2019,,,,,Del Rey Books,
82,Choose Your Destiny: A Finn & Poe Adventure,Youth,https://minirogue.github.io/SWCovers/Youth/choose_your_destiny_finn_poe.jpg,10/4/2019,34.23,,Choose Your Destiny,,Disney-Lucasfilm Press,
83,Spark of the Resistance,Youth,https://minirogue.github.io/SWCovers/Youth/spark_of_the_resistance.jpg,10/4/2019,,,,,Disney-Lucasfilm Press,
84,Battlefront II,Video Game,https://minirogue.github.io/SWCovers/VG/battlefront_II.jpg,11/17/2017,0.0001,,Battlefront,,Electronic Arts,
85,Darth Maul #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_maul_5.jpg,7/19/2017,-32.6,,Darth Maul,5,Marvel,
86,Darth Maul,TPB,https://minirogue.github.io/SWCovers/TPB/darth_maul.jpg,3/14/2016,-33,"Collects Darth Maul #1-5. This is set early on in Darth Mauls apprenticeship to Darth Sidious, and takes place sometime before Episode I. The plot in short: Maul really really wants to kill a Jedi.",Darth Maul,,Marvel,
87,Resistance (Season 1),TV Season,https://minirogue.github.io/SWCovers/TV/resistance.jpg,3/17/2019,33.99,,Resistance,1,Disney,
88,The Recruit,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,10/7/2018,33.99101,,Resistance,101,Disney,
89,The Triple Dark,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,10/7/2018,33.99102,,Resistance,102,Disney,
90,Fuel For the Fire,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,10/7/2018,33.99103,,Resistance,103,Disney,
91,The High Tower,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,10/28/2018,33.99104,,Resistance,104,Disney,
92,The Children from Tehar,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,11/4/2018,33.99105,,Resistance,105,Disney,
93,Signal from Sector Six,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,11/11/2018,33.99106,,Resistance,106,Disney,
94,Synara's Score,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,11/18/2018,33.99107,,Resistance,107,Disney,
95,The Platform Classic,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,11/25/2018,33.99108,,Resistance,108,Disney,
96,Secrets and Holograms,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,12/2/2018,33.99109,,Resistance,109,Disney,
97,Station Theta Black,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,12/9/2018,33.9911,,Resistance,110,Disney,
98,Bibo,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/13/2019,33.99111,,Resistance,111,Disney,
99,Dangerous Buisiness,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/20/2019,33.99112,,Resistance,112,Disney,
100,The Doza Dilemma,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,1/27/2019,33.99113,,Resistance,113,Disney,
101,The First Order Occupation,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,2/3/2019,33.99114,,Resistance,114,Disney,
102,The New Trooper,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,2/10/2019,33.99115,,Resistance,115,Disney,
103,The Core Problem,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,2/17/2019,33.99116,,Resistance,116,Disney,
104,The Disappeared,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,2/24/2019,33.99117,,Resistance,117,Disney,
105,Descent,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,3/3/2019,33.99118,,Resistance,118,Disney,
106,No Escape: Part 1,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,3/10/2019,34.0041,,Resistance,119,Disney,
107,No Escape: Part 2,TV Episode,https://minirogue.github.io/SWCovers/TV/resistance.jpg,3/17/2019,34.0042,,Resistance,120,Disney,
108,Rebels (Season 1),TV Season,https://minirogue.github.io/SWCovers/TV/rebels_season_1.jpg,3/2/2015,-2,,Rebels,1,Disney,
109,Rebels (Season 2),TV Season,https://minirogue.github.io/SWCovers/TV/rebels_season_2.jpg,3/30/2016,-1.9855,,Rebels,2,Disney,
110,Rebels (Season 3),TV Season,https://minirogue.github.io/SWCovers/TV/rebels_season_3.jpg,3/25/2017,-1.9659,,Rebels,3,Disney,
111,Rebels (Season 4),TV Season,https://minirogue.github.io/SWCovers/TV/rebels_season_4.jpg,3/5/2018,-1.9445,,Rebels,4,Disney,
112,The Clone Wars (Season 1),TV Season,https://minirogue.github.io/SWCovers/TV/clone_wars_season_1.jpg,3/20/2009,-20.9975,,The Clone Wars,1,Cartoon Network,
113,The Clone Wars (Season 2),TV Season,https://minirogue.github.io/SWCovers/TV/clone_wars_season_2.jpg,4/30/2010,-20.9775,,The Clone Wars,2,Cartoon Network,
114,The Clone Wars (Season 3),TV Season,https://minirogue.github.io/SWCovers/TV/clone_wars_season_3.jpg,4/1/2011,-20.9575,,The Clone Wars,3,Cartoon Network,
115,The Clone Wars (Season 4),TV Season,https://minirogue.github.io/SWCovers/TV/clone_wars_season_4.jpg,3/16/2012,-20.9355,,The Clone Wars,4,Cartoon Network,
116,The Clone Wars (Season 5),TV Season,https://minirogue.github.io/SWCovers/TV/clone_wars_season_5.jpg,3/2/2013,-20.9135,,The Clone Wars,5,Cartoon Network,
117,The Clone Wars (Season 6),TV Season,https://minirogue.github.io/SWCovers/TV/clone_wars_season_6.jpg,3/7/2014,-20.8935,,The Clone Wars,6,Netflix,
118,The Clone Wars (Season 7),TV Season,https://minirogue.github.io/SWCovers/TV/clone_wars_season_7.jpg,5/8/2020,-18.9995,The final season of The Clone Wars released on Disney+.,The Clone Wars,7,Disney,
119,Obi-Wan & Anakin,TPB,https://minirogue.github.io/SWCovers/TPB/obiwan_and_anakin.jpg,7/19/2016,-29,Collects Obi-Wan & Anakin #1-5,Obi-Wan & Anakin,,Marvel,
120,Doctor Aphra #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_03.jpg,1/18/2017,1.0056,,Doctor Aphra,3,Marvel,
121,Darth Maul: Son of Dathomir,TPB,https://minirogue.github.io/SWCovers/TPB/darth_maul_son_of_dathomir.jpg,3/21/2018,-20.8809,Collects Darth Maul: Son of Dathomir issues #1-4 and material from STAR WARS TALES #7-9,Darth Maul: Son of Dathomir,,Marvel,
122,Darth Vader: Dark Lord of the Sith Vol 1: Imperial Machine,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_imperial_machine.jpg,12/5/2017,-18.9999,Collects Darth Vader: Dark Lord of the Sith #1-6,Darth Vader: Dark Lord of the Sith,,Marvel,
123,Jedi: Fallen Order,Video Game,https://minirogue.github.io/SWCovers/VG/jedi_fallen_order.jpg,11/15/2019,-18.5,,,,Electronic Arts,
124,Darth Vader Annual #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_annual_2.jpg,7/18/2018,1.0101,,Darth Vader: Dark Lord of the Sith,,Marvel,
125,Doctor Aphra #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_05.jpg,3/8/2017,1.0061,,Doctor Aphra,5,Marvel,
126,Doctor Aphra #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_02.jpg,12/21/2016,1.0054,,Doctor Aphra,2,Marvel,
127,Doctor Aphra #09,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_09.jpg,7/12/2017,1.0069,,Doctor Aphra,9,Marvel,
128,Doctor Aphra #15,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_15.jpg,12/20/2017,1.0083,,Doctor Aphra,15,Marvel,
129,Doctor Aphra #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_08.jpg,6/27/2017,1.0067,,Doctor Aphra,8,Marvel,
130,Darth Vader: Dark Lord of the Sith Vol. 2: Legacy's End,TPB,https://minirogue.github.io/SWCovers/TPB/darth_vader_legacys_end.jpg,4/24/2018,-18.9935,Collects Darth Vader: Dark Lord of the Sith #7-12,Darth Vader: Dark Lord of the Sith,,Marvel,
131,Doctor Aphra #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_06.jpg,4/12/2017,1.0063,,Doctor Aphra,6,Marvel,
132,Darth Vader #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_01.jpg,2/11/2015,1.0003,,Darth Vader,1,Marvel,
133,Doctor Aphra #17,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_17.jpg,2/21/2018,1.0088,,Doctor Aphra,17,Marvel,
134,Doctor Aphra #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_04.jpg,2/8/2017,1.0059,,Doctor Aphra,4,Marvel,
135,Doctor Aphra Vol. 5: Worst Among Equals,TPB,https://minirogue.github.io/SWCovers/TPB/doctor_aphra_worst_among_equals.jpg,6/25/2019,1.01118,Collects Doctor Aphra #26-31 and Annual #2,Doctor Aphra,,Marvel,
136,Doctor Aphra #10,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_10.jpg,7/26/2017,1.007,,Doctor Aphra,10,Marvel,
137,Jedi of the Republic: Mace Windu,TPB,https://minirogue.github.io/SWCovers/TPB/mace_windu.jpg,2/28/2018,-21.999,Collects Jedi of the Republic: Mace Windu #1-5,Jedi of the Republic: Mace Windu,,Marvel,
138,Darth Vader #02,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_02.jpg,2/25/2015,1.0005,,Darth Vader,2,Marvel,
139,Doctor Aphra #11,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_11.jpg,8/9/2017,1.0071,,Doctor Aphra,11,Marvel,
140,The Mandalorian (Season 1),TV Season,https://minirogue.github.io/SWCovers/TV/the_mandalorian.jpg,12/27/2019,7,,The Mandalorian,1,Disney,
141,Doctor Aphra #01,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_01.jpg,12/7/2016,1.0053,,Doctor Aphra,1,Marvel,
142,Doctor Aphra Vol. 2: Doctor Aphra and the Enormous Profit,TPB,https://minirogue.github.io/SWCovers/TPB/doctor_aphra_doctor_aphra_and_the_enormous_profit.jpg,2/6/2018,1.00689,Collects Doctor Aphra #9-13 and Annual #1,Doctor Aphra,,Marvel,
143,Doctor Aphra #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_07.jpg,5/31/2017,1.0065,,Doctor Aphra,7,Marvel,
144,The Perfect Weapon,Original Novel,https://minirogue.github.io/SWCovers/Novels/the_perfect_weapon.jpg,11/24/2015,33.91,Short story set shortly before The Force Awakens. Available as e-book or audiobook only.,,,Del Rey Books,
145,Tales From a Galaxy Far Far Away: Aliens - Volume 1,Youth,https://minirogue.github.io/SWCovers/Youth/tales_from_a_galaxy_far_far_away_1_aliens.jpg,4/5/2016,34.4,,,,Disney-Lucasfilm Press,
146,Doctor Aphra Vol. 3: Remastered,TPB,https://minirogue.github.io/SWCovers/TPB/doctor_aphra_remastered.jpg,7/10/2018,1.00799,Collects Doctor Aphra #14-19,Doctor Aphra,,Marvel,
147,Doctor Aphra Vol. 4: The Catastrophe Con,TPB,https://minirogue.github.io/SWCovers/TPB/doctor_aphra_the_catastrophe_con.jpg,1/8/2019,1.00949,Collects Doctor Aphra #20-25,Doctor Aphra,,Marvel,
