id,name
1,IDW
2,Marvel
3,Disney
4,Del Rey Books
5,Random House
6,20th Century Fox
7,Disney-Lucasfilm Press
8,Warner Bros.
9,Cartoon Network
10,Netflix
11,Electronic Arts
12,Golden Books
